ID,Country,City,Long,Latitude,Altitude
6980,Nepa,Kathmandu,27.7166667,85.3166656,1304
6981,Nepa,Pokhara,28.2333333,83.9833298,922
6982,Nepa,Patan,27.6666667,85.3333359,1309
6983,Nepa,Biratnagar,26.4833333,87.2833328,70
6984,Nepa,Birganj,27,84.8666687,67
6985,Nepa,Dharan Bazar,26.8166667,87.2833328,366
6986,Nepa,Bharatpur,27.6833333,84.4333344,203
6987,Nepa,Janakpur,26.7,85.9166641,66
6988,Nepa,Dhangarhi,28.6833333,80.5999985,165
6989,Nepa,Butwal,27.7,83.4499969,150
6990,Nepa,Mahendranagar,28.9166667,80.3333359,199
6991,Nepa,Hetauda,27.4166667,85.0333328,459
6992,Nepa,Bhaktapur,27.6673377,85.4167252,1319
6993,Nepa,Bhairahawa,27.5,83.4499969,88
6994,Nepa,Gulariya,28.2333333,81.3333359,143
6995,Nepa,Ithari,26.6666667,87.2833328,107
6996,Nepa,Tikapur,28.5,81.1333313,152
6997,Nepa,Kirtipur,27.6666667,85.2833328,1342
6998,Nepa,Tulsipur,28.1333333,82.3000031,685
6999,Nepa,Rajbiraj,26.5333333,86.75,76
7000,Nepa,Lahan,26.7166667,86.4833298,111
7001,Nepa,Panaoti,27.5833333,85.5166702,1437
7002,Nepa,Gaur,26.7666667,85.2666702,67
7003,Nepa,Siraha,26.65,86.1999969,65
7004,Nepa,Jaleswar,26.6333333,85.8000031,54
7005,Nepa,Baglung,28.2666667,83.5999985,948
7006,Nepa,Khandbari,27.3666667,87.2166672,833
7007,Nepa,Dhankuta,26.9833333,87.3333359,960
7008,Nepa,Waling,27.9833333,83.7666702,804
7009,Nepa,Dailekh,28.8333333,81.7333298,1090
7010,Nepa,Malangwa,26.8666667,85.5666656,81
7011,Nepa,Bhadrapur,26.5333333,88.0833359,101
7012,Nepa,Dadeldhura,29.3,80.5833359,1699
7013,Nepa,Darchula,29.85,80.5500031,977
7014,Nepa,Ilam,26.9,87.9333344,670
7015,Nepa,Banepa,27.6333333,85.5166702,1439
7016,Nepa,Jumla,29.2833333,82.1666641,2663
7017,Nepa,Kodari,27.9666667,85.9333344,3187
