,City,Population,Latitude (DD),Longitude (DD)
1,Kathmandu,743300,27.71,85.31
2,Biratnagar,178000,26.46,87.28
3,Lalitpur,172400,27.68,85.32
4,Pokhara,169700,28.22,83.99
5,Birganj,119500,27.02,84.87
6,Dharan,102800,26.81,87.26
7,Bharatpur,96500,27.67,84.44
8,Janakpur,94000,26.73,85.92
9,Mahendranagar,86200,28.96,80.3
10,Bhaktapur,77400,27.67,85.43
11,Butwal,74900,27.71,83.45
12,Hetauda,73300,27.41,85.02
13,Dhangadhi,73300,28.69,80.59
14,Nepalganj,63200,28.07,81.62
15,Triyuga,58900,26.7807,86.641
16,Damak,56300,26.66,87.73
17,Siddharthanagar,56200,27.5,83.45
18,Madhyapur thimi,51800,27.67,85.38
19,Gulariya,49800,28.24,81.33
20,Mechinagar,48600,,
21,Itahari,48400,26.67,87.28
22,Tribuvannagar,48300,,
23,Leknath,44300,,
24,Kirtipur,44100,27.67,85.28
25,Tikapur,41800,28.5,81.13
26,Ratnanagar,41300,,
27,Tulsipur,36100,28.13,82.29
28,Kamalamai,35000,27.22,85.92
29,Birendranagar,33800,28.56,81.65
30,Kalaiya,33400,27.03,85
31,Rajbiraj,32800,26.54,86.74
32,Putalibazar,31900,,
33,Damauli,30300,,
34,Kapilwastu,29000,27.53,83.05
35,Lahan,28800,26.72,86.48
36,Panauti,27500,27.59,85.52
37,Prithivinarayan,27400,,
38,Gaur,27000,26.77,85.27
39,Siraha,25600,26.66,86.21
40,Bhimeshwar,25500,27.67,86.03
41,Inaruwa,24700,26.61,87.1
42,Malangwa,24700,26.86,85.55
43,Ramgram,24300,,
44,Khandbari,24000,27.37,87.22
45,Jaleswor,23700,26.65,85.79
46,Dipayal,23600,29.12,80.69
47,Tansen,22700,27.87,83.55
48,Dhankuta,22500,26.95,87.34
49,Baglung,22300,28.27,83.6
50,Waling,21800,27.99,83.77
51,Narayan,20600,28.83,81.73
52,Dashrathchand,19800,29.85,80.55
53,Amargadhi,19600,29.3,80.58
54,Bhadrapur,19400,26.54,88.08
55,Ilam,18100,26.91,87.92
56,Banepa,18100,27.63,85.52
57,Bidur,13200,27.89,85.16
58,Weni,11300,28.35,83.57
59,Dhulikhet,10500,27.62,85.55
60,Bishalter,10300,27.8,84.77
