,longitude,latitude
0,85.3140863,27.7057106
1,80.9346001,26.8381
2,85.301107,27.6842564
3,85.3021077,27.6850364
4,85.3112441,27.7179394
5,85.3184116,27.7087386
6,80.305789,26.465464
7,80.314388,26.464244
8,80.318223,26.468763
9,83.8948205,26.7379658
10,83.6993752,28.3999274
11,85.5134905,27.5840061
12,81.6010958,28.60641
13,80.5876112,28.7035346
14,85.2913585,27.7113489
15,85.9910239,26.7592515
16,83.7732919,28.0379368
17,83.7496382,28.0475418
18,84.5296803,28.0692468
19,80.3114319,26.4781242
20,85.2954603,27.7110872
21,85.5237477,27.6296267
22,85.3330204,27.667072
23,85.5242964,27.6283867
24,85.5238992,27.6329819
25,85.3443527,27.7324382
26,85.3305038,27.7177784
27,84.4363371,27.6821809
28,85.322661,27.7048958
29,84.423163,27.6991788
30,84.4235261,27.6991445
31,84.4384875,27.6757452
32,84.4387986,27.6709944
33,84.4360734,27.6837229
34,84.4391849,27.6847521
35,85.3443015,27.6812511
36,85.315271,27.6717643
37,85.3167825,27.6730443
38,80.9603901,26.8747124
39,84.4307286,27.6853544
40,85.3397177,27.7241352
41,84.4324497,27.6816756
42,84.4096154,27.6902999
43,85.3178811,27.7202714
44,85.3301395,27.6922425
45,85.3299048,27.6923541
46,85.32902,27.6903846
47,85.3910696,27.6325313
48,85.3230411,27.7378197
49,85.8279742,27.7536704
50,85.3092366,27.713065
51,85.2824017,27.7024512
52,85.3061261,27.7176682
53,88.1883803,26.8861056
54,85.0669243,27.7498415
55,85.5169801,27.5923956
56,88.0715599,26.8927337
57,85.3013735,27.6851305
58,85.3054073,27.6656582
59,85.3112844,27.6948215
60,85.3152583,27.6937147
61,85.2985867,27.6913755
62,84.0311056,29.7691345
63,85.2867382,27.70659
64,85.3370557,27.6943238
65,85.3737393,27.6741981
66,85.3242921,27.736695
67,85.3116341,27.7010578
68,85.3116341,27.701029
69,84.4140119,27.6810169
70,85.3464317,27.7179837
71,85.3457733,27.7168522
72,84.0236087,28.6663006
73,85.304213,27.6980033
74,83.5574686,27.8717349
75,80.5608601,29.0851166
76,85.3235715,27.7310242
77,84.4267111,27.697102
78,84.4302828,27.681559
79,84.5308581,27.9095694
80,85.2833194,27.7165926
81,85.3810864,27.7297316
82,83.7817848,26.495971
83,87.319959,27.2954348
84,86.0785213,27.6201886
85,85.3117739,27.6737417
86,86.7434096,26.5382787
87,86.7543666,26.5410338
88,86.7226564,26.5989884
89,86.746969,26.555821
90,83.24897,28.06868
91,83.03344,28.21695
92,83.164846,28.157663
93,83.17835,28.18547
94,83.11939,28.21791
95,83.068537,28.197827
96,83.14954,28.11648
97,83.2119,28.18323
98,83.27248,28.04781
99,83.1082,28.1017
100,83.23692,28.13327
101,83.132,28.23264
102,83.19566,28.17623
103,83.1841005,28.101818
104,83.037786,28.169185
105,83.12784,28.17655
106,83.0648,28.17043
107,83.18134,28.24374
108,83.22993,28.21747
109,83.13937,28.08575
110,83.07469,28.14339
111,83.09407,28.18656
112,83.2482724,28.0682616
113,83.11575,28.15858
114,83.0761906,28.2099002
115,83.24644,28.06697
116,82.4920255,28.0378487
117,83.87385,28.1050369
118,83.8739332,28.1051599
119,83.8738554,28.1052995
120,83.8739064,28.1052569
121,87.7656798,27.1475793
122,87.2675932,26.8095561
123,85.3084222,27.7049515
124,87.1208862,27.0216168
