SP0,FL0,FL1,FL2,FL3,FL4,FL5,FL6,FL7,FL8,FL9,FL10,FL11,FL12,FL13,FL14,FL15,FL16,FL17,FL18,FL19,DP0,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DP8,DP9,DP10,DP11,DP12,DP13,DP14,DP15,DP16,DP17
0.0,35496.1,1937.4,55642.2,1317.7,43890.2,70264.0,35903.3,44725.2,19536.2,31234.1,32979.9,11774.1,26652.3,10350.9,1135.8,13398.7,1060.9,1447.0,37786.5,52445.9,1567.1,32268.2,1174.3,15289.3,13650.3,32614.4,11787.4,20750.0,47678.8,1263.1,19383.2,10013.3,46347.7,35837.0,26720.9,32937.9,20912.0,1088.2
35043.5,0.0,35670.7,74575.0,34454.1,8529.0,89196.8,54836.1,63658.0,43107.9,4571.1,3020.2,30427.7,11019.0,26557.7,34090.2,36970.4,34794.2,34326.5,56719.3,71378.7,34331.6,8410.4,34265.2,38861.0,25608.5,8347.4,30331.6,18098.7,66611.6,34996.4,38316.0,25468.9,65280.5,54769.8,15520.5,2571.0,39844.8,34821.5
1935.5,36112.9,0.0,56259.0,1934.5,44507.0,70880.8,36520.1,45342.0,20153.0,31850.9,33596.7,12390.9,27269.1,10967.7,1752.6,14015.5,1037.2,2063.8,38403.3,53062.7,2183.9,32885.0,1791.1,15906.1,14267.1,33231.2,12404.2,21366.8,48295.6,911.3,20000.0,10630.1,46964.5,36453.8,27337.7,33554.7,21528.8,1283.1
54512.9,75086.9,55140.1,0.0,53923.5,83481.0,53250.7,42746.2,31238.4,44116.3,70824.9,72570.7,44171.4,66243.1,50377.6,53559.6,50528.9,54263.6,53795.9,47280.4,5848.8,53801.0,71859.0,53734.6,47007.8,53241.1,72205.2,44378.4,60340.8,34192.0,54465.8,36535.5,49604.1,32860.9,22389.1,66311.7,72528.7,38643.8,54290.9
1322.6,34924.9,1949.8,55071.0,0.0,43319.0,69692.8,35332.1,44154.0,18965.0,30662.9,32408.7,11202.9,26081.1,9779.7,829.4,12827.5,1073.3,289.1,37215.3,51874.7,440.2,31697.0,662.6,14718.1,13079.1,32043.2,11216.2,20178.8,47107.6,1275.5,18812.0,9442.1,45776.5,35265.8,26149.7,32366.7,20340.8,1100.6
43431.3,8536.1,44058.5,82962.8,42841.9,0.0,97584.6,63223.9,72045.8,51495.7,12958.9,11408.0,38815.5,19406.8,34945.5,42478.0,45358.2,43182.0,42714.3,65107.1,79766.5,42719.4,16798.2,42653.0,47248.8,33996.3,16735.2,38719.4,26486.5,74999.4,43384.2,46703.8,33856.7,73668.3,63157.6,23908.3,10958.8,48232.6,43209.3
69134.0,89708.0,69761.2,56766.9,68544.6,98102.1,0.0,57367.3,25563.3,58737.4,85446.0,87191.8,58792.5,80864.2,64998.7,68180.7,65150.0,68884.7,68417.0,61901.5,53570.6,68422.1,86480.1,68355.7,61628.9,67862.2,86826.3,58999.5,74961.9,28516.9,69086.9,51156.6,64225.2,27642.2,37010.2,80932.8,87149.8,53264.9,68912.0
34787.7,55361.7,35414.9,47928.9,34198.3,63755.8,62550.7,0.0,37011.9,23008.2,51099.7,52845.5,24446.2,46517.9,30652.4,33834.4,30803.7,34538.4,34070.7,6291.2,44732.6,34075.8,52133.8,34009.4,25899.7,33515.9,52480.0,24653.2,40615.6,39965.5,34740.6,16810.3,29878.9,38634.4,28123.7,46586.5,52803.5,18918.6,34565.7
43609.2,64183.2,44236.4,31242.1,43019.8,72577.3,25567.6,31842.5,0.0,33212.6,59921.2,61667.0,33267.7,55339.4,39473.9,42655.9,39625.2,43359.9,42892.2,36376.7,28045.8,42897.3,60955.3,42830.9,36104.1,42337.4,61301.5,33474.7,49437.1,2982.4,43562.1,25631.8,38700.4,2078.9,11485.4,55408.0,61625.0,27740.1,43387.2
18492.6,43609.2,19119.8,44128.9,17903.2,52003.3,58750.7,23011.1,33211.9,0.0,39347.2,41093.0,12887.4,34765.4,18899.9,17539.3,13502.7,18243.3,17775.6,24894.3,40932.6,17780.7,40381.3,17714.3,4596.0,21763.4,40727.5,12900.7,28863.1,36165.5,18445.5,7869.9,18126.4,34834.4,24323.7,34834.0,41051.0,9753.3,18270.6
30762.3,4558.3,31389.5,70293.8,30172.9,12952.4,84915.6,50554.9,59376.8,38826.7,0.0,2042.1,26146.5,6737.8,22276.5,29809.0,32689.2,30513.0,30045.3,52438.1,67097.5,30050.4,4129.2,29984.0,34579.8,21327.3,4066.2,26050.4,13817.5,62330.4,30715.2,34034.8,21187.7,60999.3,50488.6,11239.3,2000.1,35563.6,30540.3
32516.7,3005.7,33143.9,72048.2,31927.3,11399.8,86670.0,52309.3,61131.2,40581.1,2044.3,0.0,27900.9,8492.2,24030.9,31563.4,34443.6,32267.4,31799.7,54192.5,68851.9,31804.8,5883.6,31738.4,36334.2,23081.7,5820.6,27804.8,15571.9,64084.8,32469.6,35789.2,22942.1,62753.7,52243.0,12993.7,447.5,37318.0,32294.7
10680.4,30965.0,11307.6,44200.8,10091.0,39359.1,58822.6,24461.9,33283.8,12833.9,26703.0,28448.8,0.0,22121.2,6255.7,9727.1,6696.4,10431.1,9963.4,26345.1,41004.5,9968.5,27737.1,9902.1,8587.0,9119.2,28083.3,256.5,16218.9,36237.4,10633.3,7941.8,5482.2,34906.3,24395.6,22189.8,28406.8,9470.6,10458.4
26184.5,11207.2,26811.7,65716.0,25595.1,19601.3,80337.8,45977.1,54799.0,34248.9,6945.2,8691.0,21568.7,0.0,17698.7,25231.2,28111.4,25935.2,25467.5,47860.3,62519.7,25472.6,7979.3,25406.2,30002.0,16749.5,8325.5,21472.6,9239.7,57752.6,26137.4,29457.0,16609.9,56421.5,45910.8,6661.5,8649.0,30985.8,25962.5
