,SP0,FL0,FL1,FL2,FL3,FL4,FL5,FL6,FL7,FL8,FL9,FL10,FL11,FL12,FL13,FL14,FL15,FL16,FL17,FL18,FL19,DP0,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DP8,DP9,DP10,DP11,DP12,DP13,DP14,DP15,DP16,DP17
SP0,0.0,27606.5,23969.3,28804.8,27095.2,20696.7,35551.7,44233.3,51324.1,20502.6,39278.4,43725.6,25358.2,11066.0,21343.3,52262.6,18915.1,21850.7,26225.9,39841.6,53448.7,1567.1,32268.2,1174.3,15289.3,13650.4,32614.4,11787.4,20750.0,47678.8,1263.1,19383.2,10013.3,46347.7,35837.0,26720.9,32937.9,20912.0,1088.2
FL0,27254.3,0.0,40844.1,32442.3,32794.8,37571.5,16652.4,62269.9,68198.9,27191.9,42915.9,47363.1,42233.0,27940.8,28799.5,70299.2,25604.4,39887.3,19733.6,43479.1,57086.2,26542.4,49143.0,26476.0,13248.0,30525.2,49489.2,21662.4,37624.8,51316.3,27207.2,23020.7,26888.1,49985.2,39474.5,43595.7,49812.7,24904.1,27032.3
FL1,23507.8,39642.5,0.0,36201.9,27067.1,21119.2,47587.7,62102.7,29245.1,32538.6,46675.5,49745.6,3279.2,14884.0,28740.4,70132.0,30951.1,39720.1,33623.0,47238.7,60845.8,22795.9,10189.2,22729.5,27325.3,14072.9,10535.4,18795.9,6563.0,55075.9,23460.7,26780.3,13933.2,53744.8,43234.1,3509.0,10858.9,28309.1,23285.8
FL2,27687.7,32440.3,36734.9,0.0,16971.2,31132.8,40385.5,62703.3,64089.7,30807.6,14973.6,23151.5,38123.8,23831.6,15714.0,70732.6,29220.1,40320.7,16770.9,15536.8,27926.4,26975.8,45033.8,26909.4,20182.6,26416.0,45380.0,17553.2,33515.6,22156.5,27640.6,9710.3,22778.9,20825.4,10314.7,39486.5,45703.5,11818.6,27465.7
FL3,26401.9,32559.5,26355.5,17927.2,0.0,17625.1,40504.7,61417.5,52568.5,29521.8,23797.3,24644.2,27744.4,20341.3,7913.1,69446.8,27934.3,39034.9,16890.1,24360.5,42199.6,25690.0,31589.6,25623.6,20301.8,16366.9,33858.8,16267.4,20052.5,36429.7,26354.8,10047.4,19390.5,35098.6,22401.9,29107.1,34182.3,8528.5,26179.9
FL4,21500.0,37634.7,22384.4,31099.7,17906.7,0.0,45579.9,60094.9,49739.2,30530.8,38286.0,39126.3,23773.3,12876.2,20299.7,68124.2,28943.3,37712.3,28520.8,38849.2,55743.6,20788.1,30683.3,20721.7,25317.5,9142.8,31029.5,16788.1,19165.1,49973.7,21452.9,21678.1,11925.4,48642.6,36890.6,25136.0,31353.0,22630.7,21278.0
FL5,35491.0,16950.2,49080.8,40679.0,41031.5,45808.2,0.0,70506.6,76435.6,35428.6,51152.6,55599.8,50469.7,36177.5,37036.2,78535.9,33841.1,48124.0,27970.3,51715.8,65322.9,34779.1,57379.7,34712.7,21484.7,38761.9,57725.9,29899.1,45861.5,59553.0,35443.9,31257.4,35124.8,58221.9,47711.2,51832.4,58049.4,33140.8,35269.0
FL6,43500.7,61572.6,62048.8,62770.9,61061.3,58776.2,69517.8,0.0,89403.6,54468.7,73244.5,77691.7,63437.7,49145.5,55309.4,14172.1,52881.2,34626.6,60192.0,73807.7,87414.8,42788.8,70347.7,42722.4,49255.4,51729.9,70693.9,45753.5,58829.5,81644.9,43453.6,53349.3,48092.8,80313.8,69803.1,64800.4,71017.4,54878.1,43278.7
FL7,50871.2,67005.9,29258.2,63565.3,52854.4,48482.6,74951.1,89466.1,0.0,59902.0,74038.9,75264.9,25980.9,42247.4,56103.8,97495.4,58314.5,67083.5,60986.4,74602.1,88209.2,50159.3,24238.1,50092.9,54688.7,41436.3,20151.2,46159.3,33926.4,82439.3,50824.1,54143.7,41296.6,81108.2,70597.5,31348.2,24491.7,55672.5,50649.2
FL8,19436.2,26484.5,33026.0,30861.7,29152.1,29753.4,34429.7,54451.8,60380.8,0.0,41335.3,45782.5,34414.9,20122.7,23400.2,62481.1,9195.9,32069.2,26086.4,41898.5,55505.6,18724.3,41324.9,18657.9,14167.3,22707.1,41671.1,13844.3,29806.7,49735.7,19389.1,21440.1,19070.0,48404.6,37893.9,35777.6,41994.6,22968.9,19214.2
FL9,38714.4,43467.0,47761.6,14988.7,23391.8,38294.7,51412.2,73730.0,75116.4,41834.3,0.0,15989.0,49150.5,34858.3,23785.3,81759.3,40246.8,51347.4,27797.6,4360.7,24858.3,38002.5,54476.7,37936.1,31209.3,37036.5,56406.7,28579.9,42939.6,18954.1,38667.3,20737.0,33805.6,15087.1,5060.6,50513.2,56730.2,22294.1,38492.4
FL10,43136.9,47889.5,49319.3,23124.6,24232.6,39129.0,55834.7,78152.5,75257.9,46256.8,15995.4,0.0,50708.2,39280.8,25499.3,86181.8,44669.3,55769.9,32220.1,18072.5,35911.6,42425.0,54279.0,42358.6,35631.8,37870.8,56548.2,33002.4,43016.3,22478.8,43089.8,25159.5,38228.1,20502.3,16113.9,52070.9,56871.7,25006.2,42914.9
FL11,24890.3,41025.0,3277.3,37584.4,28449.6,22501.7,48970.2,63485.2,25965.9,33921.1,48058.0,51128.1,0.0,16266.5,30122.9,71514.5,32333.6,41102.6,35005.5,48621.2,62228.3,24178.4,6910.0,24112.0,28707.8,15455.4,7256.2,20178.4,7945.5,56458.4,24843.2,28162.8,15315.7,55127.3,44616.6,5367.3,7579.7,29691.6,24668.3
FL12,10859.7,26994.4,15146.7,23553.8,20629.3,11874.1,34939.6,49454.6,42501.5,19890.5,34027.4,38474.6,16535.6,0.0,16092.3,57483.9,18303.0,27072.0,20974.9,34590.6,48197.7,10147.8,23445.6,10081.4,14677.2,4827.8,23791.8,6147.8,11927.4,42427.8,10812.6,14132.2,1142.1,41096.7,30586.0,17898.3,24115.3,15661.0,10637.7
FL13,20226.4,28794.9,29273.6,15704.4,7489.3,20293.4,36740.1,55242.0,56628.4,23346.3,23779.2,25497.8,30662.5,16370.3,0.0,63271.3,21758.8,32859.4,13125.5,24342.4,40348.3,19514.5,36475.4,19448.1,16537.2,18954.7,37918.7,10091.9,24938.3,34578.4,20179.3,6282.8,15317.6,33247.3,22383.8,32025.2,38242.2,6197.4,20004.4
FL14,51524.2,69596.1,70072.3,70794.4,69084.8,66799.7,77541.3,14172.4,97427.1,62492.2,81268.0,85715.2,71461.2,57169.0,63332.9,0.0,60904.7,42650.1,68215.5,81831.2,95438.3,50812.3,78371.2,50745.9,57278.9,59753.4,78717.4,53777.0,66853.0,89668.4,51477.1,61372.8,56116.3,88337.3,77826.6,72823.9,79040.9,62901.6,51302.2
FL15,17837.5,24885.8,31427.3,29263.0,27553.4,28154.7,32831.0,52853.1,58782.1,9188.7,39736.6,44183.8,32816.2,18524.0,21801.5,60882.4,0.0,30470.5,24487.7,40299.8,53906.9,17125.6,39726.2,17059.2,12568.6,21108.4,40072.4,12245.6,28208.0,48137.0,17790.4,19841.4,17471.3,46805.9,36295.2,34178.9,40395.9,21370.2,17615.5
FL16,21114.7,39186.6,39662.8,40384.9,38675.3,36390.2,47131.8,34623.1,67017.6,32082.7,50858.5,55305.7,41051.7,26759.5,32923.4,42652.4,30495.2,0.0,37806.0,51421.7,65028.8,20402.8,47961.7,20336.4,26869.4,29343.9,48307.9,23367.5,36443.5,59258.9,21067.6,30963.3,25706.8,57927.8,47417.1,42414.4,48631.4,32492.1,20892.7
FL17,25110.8,19744.9,34158.0,16779.9,17132.4,28555.9,27690.1,60126.4,61512.8,26105.3,27253.5,31700.7,35546.9,21254.7,13137.1,68155.7,24517.8,37743.8,0.0,27816.7,41423.8,24398.9,42456.9,24332.5,12271.1,23839.1,42803.1,14976.3,30938.7,35653.9,25063.7,7358.3,20202.0,34322.8,23812.1,36909.6,43126.6,9241.7,24888.8
FL18,39273.4,44026.0,48320.6,15547.7,23950.8,38853.7,51971.2,74289.0,75675.4,42393.3,4362.3,18097.1,49709.5,35417.3,24344.3,82318.3,40805.8,51906.4,28356.6,0.0,25417.3,38561.5,55035.7,38495.1,31768.3,37595.5,56965.7,29138.9,43498.6,19647.4,39226.3,21296.0,34364.6,17077.7,5619.6,51072.2,57289.2,22853.1,39051.4
FL19,52324.3,57076.9,61371.5,27930.1,41607.8,55769.4,65022.1,87339.9,88726.3,55444.2,24859.4,35941.1,62760.4,48468.2,40350.6,95369.2,53856.7,64957.3,41407.5,25422.6,0.0,51612.4,69670.4,51546.0,44819.2,51052.6,70016.6,42189.8,58152.2,32003.4,52277.2,34346.9,47415.5,30672.3,20200.5,64123.1,70340.1,36455.2,52102.3
DP0,1531.2,26908.0,23270.8,28106.3,26396.7,19998.2,34853.2,43381.3,50625.6,19804.1,38579.9,43027.1,24659.7,10367.5,20644.8,51410.6,18216.6,20998.7,25527.4,39143.1,52750.2,0.0,31569.7,671.5,14590.8,12951.9,31915.9,11088.9,20051.5,46980.3,1484.1,18684.7,9314.8,45649.2,35138.5,26022.4,32239.4,20213.5,1309.2
DP1,31800.3,47935.0,10187.3,44494.4,31522.5,29411.7,55880.2,70395.2,24231.7,40831.1,54128.5,53933.0,6910.0,23176.5,36142.2,78424.5,39243.6,48012.6,41915.5,54691.7,69138.3,31088.4,0.0,31022.0,35617.8,22365.4,5522.0,27088.4,14855.5,63368.4,31753.2,35072.8,22225.7,62037.3,51526.6,12277.3,5845.5,36601.6,31578.3
