SP0,FL0,FL1,FL2,FL3,FL4,FL5,FL6,FL7,FL8,FL9,FL10,FL11,FL12,FL13,FL14,FL15,FL16,FL17,FL18,FL19,DP0,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DP8,DP9,DP10,DP11,DP12,DP13,DP14,DP15,DP16,DP17,DP18,DP19,DP20,DP21,DP22,DP23,DP24,DP25,DP26,DP27,DP28,DP29
0.0,35376.9,1819.1,55525.4,1192.3,43771.0,70147.2,35786.5,44608.4,19419.5,31114.9,32860.7,11657.3,26533.1,10231.7,1017.5,13281.9,942.6,1335.5,37669.7,52329.1,1247.0,15919.8,1127.5,32295.0,13203.7,32073.9,11695.8,20689.0,45975.3,19154.9,47648.4,9669.5,785.0,26888.9,28726.0,35707.8,20795.2,39820.8,29777.8,2651.8,43014.1,1689.5,33117.6,26626.1,23152.7,44892.8,2663.7,19728.7,23955.7,21838.2
34916.7,0.0,35665.4,74575.0,34453.6,8529.0,89196.8,54836.1,63658.0,43108.0,4571.1,3020.2,30427.7,11019.0,26557.7,34089.7,36970.4,34788.9,34326.0,56719.3,71378.7,34484.2,39608.3,34238.4,8556.4,25281.1,7926.1,30464.5,18156.9,65024.9,38204.5,66698.0,25520.8,34759.3,15807.7,6774.6,54757.4,39844.8,58870.4,5630.0,36498.1,62063.7,34265.1,52167.2,10973.1,12750.7,63942.4,36510.0,26535.3,16324.0,40887.8
1814.0,36112.0,0.0,56260.5,1927.4,44506.1,70882.3,36521.6,45343.5,20154.6,31850.0,33595.8,12392.4,27268.2,10966.8,1752.6,14017.0,1037.2,2070.6,38404.8,53064.2,1982.1,16654.9,1862.6,33030.1,13938.8,32809.0,12430.9,21424.1,46710.4,19890.0,48383.5,10404.6,1238.6,27624.0,29461.1,36442.9,21530.3,40555.9,30512.9,832.7,43749.2,2424.6,33852.7,27361.2,23887.8,45627.9,844.6,20463.8,24690.8,22573.3
54387.0,75086.9,55135.7,0.0,53923.9,83481.0,53250.7,42746.2,31238.4,44116.3,70824.9,72570.7,44171.4,66243.1,50377.6,53560.0,50528.9,54259.2,53796.3,47280.4,5848.8,53954.5,47755.0,53708.7,72005.0,52913.7,71783.9,44364.1,60399.0,32605.3,36364.4,34278.4,49379.5,54229.6,66598.9,68436.0,22376.7,38643.8,26450.8,69487.8,55968.4,29644.1,53735.4,27802.5,66336.1,62862.7,10693.7,55980.3,59438.7,63665.7,39325.2
1186.3,34924.0,1935.0,55072.5,0.0,43318.1,69694.3,35333.6,44155.5,18966.6,30662.0,32407.8,11204.4,26080.2,9778.8,828.7,12829.0,1058.5,289.1,37216.8,51876.2,319.4,15466.9,783.2,31842.1,12750.8,31621.0,11242.9,20236.1,45522.4,18702.0,47195.5,9216.6,1028.9,26436.0,28273.1,35254.9,20342.3,39367.9,29324.9,2767.7,42561.2,1344.9,32664.7,26173.2,22699.8,44439.9,2779.6,19275.8,23502.8,21385.3
43304.5,8536.1,44053.2,82962.8,42841.4,0.0,97584.6,63223.9,72045.8,51495.8,12958.9,11408.0,38815.5,19406.8,34945.5,42477.5,45358.2,43176.7,42713.8,65107.1,79766.5,42872.0,47996.1,42626.2,16944.2,33668.9,16313.9,38852.3,26544.7,73412.7,46592.3,75085.8,33908.6,43147.1,24195.5,15162.4,63145.2,48232.6,67258.2,14017.8,44885.9,70451.5,42652.9,60555.0,19360.9,21138.5,72330.2,44897.8,34923.1,24711.8,49275.6
69008.1,89708.0,69756.8,56766.9,68545.0,98102.1,0.0,57367.3,25563.3,58737.4,85446.0,87191.8,58792.5,80864.2,64998.7,68181.1,65150.0,68880.3,68417.4,61901.5,53570.6,68575.6,62376.1,68329.8,86626.1,67534.8,86405.0,58985.2,75020.1,27352.6,50985.5,28603.3,64000.6,68850.7,81220.0,83057.1,36997.8,53264.9,36964.7,84108.9,70589.5,33030.5,68356.5,44028.2,80957.2,77483.8,46134.3,70601.4,74059.8,78286.8,53946.3
34661.8,55361.7,35410.5,47928.9,34198.7,63755.8,62550.7,0.0,37011.9,23008.2,51099.7,52845.5,24446.2,46517.9,30652.4,33834.8,30803.7,34534.0,34071.1,6291.2,44732.6,34229.3,26646.9,33983.5,52279.8,33188.5,52058.7,24638.9,40673.8,38378.8,16639.2,40051.9,29654.3,34504.4,46873.7,48710.8,28111.3,18918.6,32224.3,49762.6,36243.2,35417.6,34010.2,18777.6,46610.9,43137.5,37296.3,36255.1,39713.5,43940.5,18055.4
43483.3,64183.2,44232.0,31242.1,43020.2,72577.3,25567.6,31842.5,0.0,33212.6,59921.2,61667.0,33267.7,55339.4,39473.9,42656.3,39625.2,43355.5,42892.6,36376.7,28045.8,43050.8,36851.3,42805.0,61101.3,42010.0,60880.2,33460.4,49495.3,1789.3,25460.7,3068.8,38475.8,43325.9,55695.2,57532.3,11473.0,27740.1,11439.9,58584.1,45064.7,7505.7,42831.7,18503.4,55432.4,51959.0,20609.5,45076.6,48535.0,52762.0,28421.5
18366.8,43609.3,19115.5,44128.9,17903.7,52003.4,58750.7,23011.1,33211.9,0.0,39347.3,41093.1,12887.5,34765.5,18900.0,17539.8,13502.8,18239.0,17776.1,24894.3,40932.6,17934.3,5343.2,17688.5,40527.4,21436.1,40306.3,12926.0,28921.4,34578.8,7758.4,36251.9,17901.9,18209.4,35121.3,36958.4,24311.3,9753.3,28424.3,38010.2,19948.2,31617.6,17715.2,21721.1,34858.5,31385.1,33496.3,19960.1,27961.1,32188.1,5623.4
