SP0,FL0,FL1,FL2,FL3,FL4,FL5,FL6,FL7,FL8,FL9,FL10,FL11,FL12,FL13,FL14,FL15,FL16,FL17,FL18,FL19,DP0,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DP8,DP9,DP10,DP11,DP12,DP13,DP14,DP15,DP16,DP17,DP18,DP19,DP20,DP21,DP22,DP23,DP24,DP25,DP26,DP27,DP28,DP29,DP30,DP31,DP32,DP33,DP34
0.0,35376.9,1819.2,55525.4,1192.3,43771.0,70147.2,35786.5,44608.4,19419.2,31114.9,32860.7,11657.3,26533.1,10231.7,1017.5,13282.4,942.6,1335.5,37669.7,52329.1,1247.0,15919.5,1127.5,32295.0,13203.7,32073.9,11695.8,20689.0,45975.3,19154.9,47648.4,9669.5,785.0,26888.9,28726.0,35707.8,20795.2,39820.8,29777.8,2651.9,43014.1,1689.5,33117.6,26626.1,23152.7,44892.8,2663.8,19728.7,23955.7,21838.2,38261.8,15097.3,40719.4,1180.0,64582.4
34916.7,0.0,35665.5,74575.0,34453.6,8529.0,89196.8,54836.1,63658.0,43107.7,4571.1,3020.2,30427.7,11019.0,26557.7,34089.7,36970.9,34788.9,34326.0,56719.3,71378.7,34484.2,39608.0,34238.4,8556.4,25281.1,7926.1,30464.5,18156.9,65024.9,38204.5,66698.0,25520.8,34759.3,15807.7,6774.6,54757.4,39844.8,58870.4,5630.0,36498.2,62063.7,34265.1,52167.2,10973.1,12750.7,63942.4,36510.1,26535.3,16324.0,40887.8,57311.4,29271.5,59769.0,35026.3,83632.0
1814.1,36112.1,0.0,56260.6,1927.5,44506.2,70882.4,36521.7,45343.6,20154.4,31850.1,33595.9,12392.5,27268.3,10966.9,1752.7,14017.6,1037.3,2070.7,38404.9,53064.3,1982.2,16654.7,1862.7,33030.2,13938.9,32809.1,12431.0,21424.2,46710.5,19890.1,48383.6,10404.7,1238.7,27624.1,29461.2,36443.0,21530.4,40556.0,30513.0,832.7,43749.3,2424.7,33852.8,27361.3,23887.9,45628.0,844.6,20463.9,24690.9,22573.4,38997.0,13300.6,41454.6,888.6,65317.6
54386.8,75086.9,55135.6,0.0,53923.7,83481.0,53250.7,42746.2,31238.4,44116.3,70824.9,72570.7,44171.4,66243.1,50377.6,53559.8,50529.4,54259.0,53796.1,47280.4,5848.8,53954.3,47755.0,53708.5,72005.0,52913.7,71783.9,44364.1,60399.0,32605.3,36364.4,34278.4,49379.5,54229.4,66598.9,68436.0,22376.7,38643.8,26450.8,69487.8,55968.3,29644.1,53735.2,27802.5,66336.1,62862.7,10693.7,55980.2,59438.7,63665.7,39325.2,24891.8,68413.7,23412.1,54496.4,18985.6
1186.3,34924.0,1935.1,55072.5,0.0,43318.1,69694.3,35333.6,44155.5,18966.3,30662.0,32407.8,11204.4,26080.2,9778.8,828.7,12829.5,1058.5,289.1,37216.8,51876.2,319.4,15466.6,783.2,31842.1,12750.8,31621.0,11242.9,20236.1,45522.4,18702.0,47195.5,9216.6,1028.9,26436.0,28273.1,35254.9,20342.3,39367.9,29324.9,2767.8,42561.2,1344.9,32664.7,26173.2,22699.8,44439.9,2779.7,19275.8,23502.8,21385.3,37808.9,15213.2,40266.5,1295.9,64129.5
43304.5,8536.1,44053.3,82962.8,42841.4,0.0,97584.6,63223.9,72045.8,51495.5,12958.9,11408.0,38815.5,19406.8,34945.5,42477.5,45358.7,43176.7,42713.8,65107.1,79766.5,42872.0,47995.8,42626.2,16944.2,33668.9,16313.9,38852.3,26544.7,73412.7,46592.3,75085.8,33908.6,43147.1,24195.5,15162.4,63145.2,48232.6,67258.2,14017.8,44886.0,70451.5,42652.9,60555.0,19360.9,21138.5,72330.2,44897.9,34923.1,24711.8,49275.6,65699.2,37659.3,68156.8,43414.1,92019.8
69007.9,89708.0,69756.7,56766.9,68544.8,98102.1,0.0,57367.3,25563.3,58737.4,85446.0,87191.8,58792.5,80864.2,64998.7,68180.9,65150.5,68880.1,68417.2,61901.5,53570.6,68575.4,62376.1,68329.6,86626.1,67534.8,86405.0,58985.2,75020.1,27352.6,50985.5,28603.3,64000.6,68850.5,81220.0,83057.1,36997.8,53264.9,36964.7,84108.9,70589.4,33030.5,68356.3,44028.2,80957.2,77483.8,46134.3,70601.3,74059.8,78286.8,53946.3,35501.1,83034.8,51630.0,69117.5,39071.7
34661.6,55361.7,35410.4,47928.9,34198.5,63755.8,62550.7,0.0,37011.9,23008.2,51099.7,52845.5,24446.2,46517.9,30652.4,33834.6,30804.2,34533.8,34070.9,6291.2,44732.6,34229.1,26646.9,33983.3,52279.8,33188.5,52058.7,24638.9,40673.8,38378.8,16639.2,40051.9,29654.3,34504.2,46873.7,48710.8,28111.3,18918.6,32224.3,49762.6,36243.1,35417.6,34010.0,18777.6,46610.9,43137.5,37296.3,36255.0,39713.5,43940.5,18055.4,30665.3,48688.5,26348.1,34771.2,56985.9
43483.1,64183.2,44231.9,31242.1,43020.0,72577.3,25567.6,31842.5,0.0,33212.6,59921.2,61667.0,33267.7,55339.4,39473.9,42656.1,39625.7,43355.3,42892.4,36376.7,28045.8,43050.6,36851.3,42804.8,61101.3,42010.0,60880.2,33460.4,49495.3,1789.3,25460.7,3068.8,38475.8,43325.7,55695.2,57532.3,11473.0,27740.1,11439.9,58584.1,45064.6,7505.7,42831.5,18503.4,55432.4,51959.0,20609.5,45076.5,48535.0,52762.0,28421.5,9976.3,57510.0,26105.2,43592.7,40299.1
18366.3,43609.0,19115.1,44128.9,17903.2,52003.1,58750.7,23011.1,33211.9,0.0,39347.0,41092.8,12887.2,34765.2,18899.7,17539.3,13503.3,18238.5,17775.6,24894.3,40932.6,17933.8,5343.2,17688.0,40527.1,21435.8,40306.0,12925.7,28921.1,34578.8,7758.4,36251.9,17901.6,18208.9,35121.0,36958.1,24311.3,9753.3,28424.3,38009.9,19947.8,31617.6,17714.7,21721.1,34858.2,31384.8,33496.3,19959.7,27960.8,32187.8,5623.4,26865.3,32393.2,29322.9,18475.9,53185.9
